job_name,result,bmc_circuit_size,bmc_dag_size,bmc_time,bmc_solve_time,hybrid_smap_new,hybrid_smap_insert,hybrid_smap_hit,hybrid_smap_miss,hybrid_smap_abort,hybrid_smap_skip,hybrid_thm_skip_store,hybrid_arm_skip_store,hybrid_arm_skip_memset,hybrid_arm_skip_memcpy,hybrid_ptr_norm,hybrid_rw_ite,opsem_simp_time,seahorn_total_time
byte_buf_reserve_relative,TRUE,14,236,0.15,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.17
byte_buf_init_copy_from_cursor,TRUE,14,246,0.29,0.28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.32
byte_buf_write_be16,TRUE,11,168,0.08,0.06,3,3,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.10
byte_buf_secure_zero,TRUE,11,163,0.18,0.17,1,14,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.20
byte_buf_write_be32,TRUE,11,168,0.08,0.07,3,3,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.10
array_list_swap_contents,TRUE,12,271,2.01,1.99,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.04
array_eq,TRUE,12,1121,3.15,3.12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,3.18
byte_buf_write_be64,TRUE,11,168,0.08,0.06,3,3,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.10
byte_buf_write,TRUE,13,322,0.40,0.38,3,38,44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.42
array_list_pop_front,TRUE,11,310,3.25,3.23,3,54,58,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,3.27
array_list_pop_front_n,TRUE,15,379,3.28,3.26,5,92,150,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,3.30
byte_buf_write_u8,TRUE,11,166,0.09,0.07,3,3,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.11
byte_buf_cat,TRUE,38,613,1.82,1.78,27,15,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.87
byte_cursor_advance,TRUE,8,203,0.21,0.19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.22
byte_cursor_advance_nospec,TRUE,8,234,0.33,0.31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.35
byte_cursor_from_array,TRUE,9,80,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
byte_cursor_eq_c_str,TRUE,9,313,0.15,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.16
byte_cursor_eq_c_str_ignore_case,TRUE,9,313,0.15,0.13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
byte_buf_from_c_str,TRUE,9,913,1.98,1.95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,2.01
byte_buf_write_from_whole_cursor,TRUE,19,437,0.82,0.79,6,66,86,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.84
byte_cursor_from_buf,TRUE,9,156,0.05,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.07
byte_cursor_from_string,TRUE,9,378,0.11,0.09,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.13
byte_buf_write_from_whole_buffer,TRUE,20,484,1.11,1.09,10,106,122,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.14
byte_cursor_left_trim_pred,TRUE,8,358,0.05,0.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.07
array_list_push_front,TRUE,19,332,4.43,4.42,4,8,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,4.46
byte_cursor_eq_byte_buf,TRUE,11,781,0.72,0.70,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.75
byte_buf_eq,TRUE,12,1175,3.09,3.06,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,3.14
array_list_push_back,TRUE,19,344,4.83,4.82,4,8,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,4.86
byte_cursor_read_be16,TRUE,12,252,0.12,0.10,1,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.13
byte_buf_eq_ignore_case,TRUE,12,2388,2.88,2.85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,2.92
array_list_shrink_to_fit,TRUE,14,300,4.26,4.24,3,3,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,4.29
byte_cursor_compare_lexical,TRUE,10,775,1.28,1.26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.31
byte_cursor_eq,TRUE,10,767,1.22,1.19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.25
byte_cursor_read_be32,TRUE,12,283,0.13,0.11,1,2,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.15
byte_cursor_read,TRUE,15,481,0.68,0.66,2,54,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,0.70
hash_ptr,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
byte_cursor_satisfies_pred,TRUE,8,272,0.06,0.04,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.08
byte_cursor_read_u8,TRUE,13,338,0.15,0.13,1,46,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.17
byte_cursor_right_trim_pred,TRUE,8,340,0.11,0.10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.14
byte_cursor_read_be64,TRUE,12,345,0.25,0.23,1,6,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.27
hash_array_ignore_case,TRUE,9,179,0.04,0.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.06
hash_byte_cursor_ptr_ignore_case,TRUE,8,184,0.04,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.05
byte_cursor_read_and_fill_buffer,TRUE,17,585,0.83,0.80,5,92,102,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,0.86
hash_string,TRUE,9,243,0.17,0.16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.19
byte_cursor_from_c_str,TRUE,9,775,1.58,1.56,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.60
byte_cursor_trim_pred,TRUE,8,595,0.59,0.55,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,0.62
hash_callback_string_destroy,TRUE,9,179,0.18,0.17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.20
byte_cursor_eq_byte_buf_ignore_case,TRUE,11,2373,2.40,2.35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,2.43
array_list_erase,TRUE,13,276,6.49,6.47,4,8,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,6.52
array_list_copy,TRUE,19,280,6.55,6.54,4,11,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,6.58
hash_table_get_entry_count,TRUE,9,330,0.27,0.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.30
hash_table_move,TRUE,9,328,0.31,0.28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.33
byte_cursor_eq_ignore_case,TRUE,10,2288,2.65,2.59,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,2.68
hash_iter_done,TRUE,11,544,0.52,0.49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.56
byte_cursor_compare_lookup,TRUE,14,1203,2.98,2.94,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,3.03
byte_buf_init_copy,TRUE,13,2371,4.66,4.60,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.02,0.02,4.70
hash_table_clean_up,TRUE,9,697,0.82,0.79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.87
hash_c_string,TRUE,9,929,1.52,1.49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.56
hash_table_clear,TRUE,9,723,0.88,0.85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.93
linked_list_init,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
linked_list_remove,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
hash_iter_begin,TRUE,9,1206,1.50,1.46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.55
hash_table_swap,TRUE,14,730,1.24,1.20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.28
linked_list_prev,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
hash_iter_begin_done,TRUE,9,1441,1.63,1.58,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,1.74
linked_list_next,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
hash_iter_next,TRUE,11,865,2.01,1.98,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,2.06
linked_list_node_reset,TRUE,8,71,0.09,0.08,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.10
linked_list_insert_after,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
linked_list_insert_before,TRUE,7,26,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03
hash_byte_cursor_ptr,TRUE,8,1235,2.43,2.39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,2.52
string_bytes,TRUE,9,163,0.40,0.38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.41
hash_table_find,TRUE,9,1286,4.58,4.53,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,4.66
linked_list_back,TRUE,16,1196,5.51,5.46,18,37,n/a,n/a,150,n/a,n/a,n/a,n/a,n/a,0.01,0.01,0.01,5.55
linked_list_rbegin,TRUE,16,1483,4.15,4.10,18,37,n/a,n/a,175,n/a,n/a,n/a,n/a,n/a,0.01,0.01,0.01,4.19
linked_list_end,TRUE,16,1187,6.13,6.08,18,37,n/a,n/a,150,n/a,n/a,n/a,n/a,n/a,0.01,0.01,0.01,6.17
array_list_comparator_string,TRUE,16,2028,13.99,13.94,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,14.02
string_eq_byte_buf_ignore_case,TRUE,14,2575,4.64,4.58,1,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,4.67
string_eq_byte_cursor,TRUE,13,996,4.30,4.27,1,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,4.32
string_eq_byte_buf,TRUE,14,1017,4.94,4.92,1,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,4.97
linked_list_begin,TRUE,16,1197,7.28,7.23,18,35,n/a,n/a,150,n/a,n/a,n/a,n/a,n/a,0.01,0.01,0.01,7.32
linked_list_pop_front,TRUE,16,1665,7.27,7.18,18,35,48,n/a,200,60,n/a,n/a,n/a,n/a,0.01,0.01,0.03,7.32
linked_list_push_back,TRUE,18,1369,6.69,6.63,21,37,12,n/a,187,18,n/a,n/a,n/a,n/a,0.01,0.01,0.01,6.73
linked_list_front,TRUE,16,1378,7.96,7.91,18,35,n/a,n/a,150,n/a,n/a,n/a,n/a,n/a,0.01,0.01,0.01,7.99
string_destroy,TRUE,9,161,0.10,0.09,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.12
string_new_from_c_str,TRUE,12,631,0.77,0.75,1,14,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,0.80
string_eq,TRUE,12,1275,6.56,6.53,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,6.59
string_destroy_secure,TRUE,9,650,0.44,0.41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,0.45
linked_list_pop_back,TRUE,16,1632,8.44,8.36,18,37,48,n/a,200,60,n/a,n/a,n/a,n/a,0.01,0.01,0.03,8.50
linked_list_rend,TRUE,16,1204,7.32,7.27,18,35,n/a,n/a,150,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.01,7.36
priority_queue_clean_up,TRUE,33,184,0.03,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04
string_eq_c_str,TRUE,12,1537,4.26,4.22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,4.30
priority_queue_init_static,TRUE,5,97,0.41,0.40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.42
ring_buffer_init,TRUE,11,167,0.26,0.25,3,9,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.28
priority_queue_size,TRUE,12,290,1.11,1.09,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.14
ring_buffer_clean_up,TRUE,11,152,0.31,0.29,3,9,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.33
priority_queue_init_dynamic,TRUE,9,126,0.87,0.86,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.90
string_compare,TRUE,12,1344,8.47,8.43,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,8.49
hash_callback_string_eq,TRUE,12,2260,12.18,12.12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.02,12.22
priority_queue_capacity,TRUE,12,290,1.15,1.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.18
array_eq_c_str_ignore_case2,TRUE,9,318,0.16,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
priority_queue_top,TRUE,12,292,1.15,1.13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.19
string_eq_byte_cursor_ignore_case,TRUE,13,3802,7.41,7.33,1,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.04,7.44
hash_callback_c_str_eq,TRUE,12,1737,12.56,12.52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,12.62
array_list_capacity2,TRUE,11,126,0.03,0.01,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.05
linked_list_push_front,TRUE,18,1835,9.75,9.66,21,35,39,n/a,240,54,n/a,n/a,n/a,n/a,0.01,0.01,0.03,9.80
array_list_back2,TRUE,14,196,0.78,0.77,3,3,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.80
array_eq_c_str2,TRUE,12,962,1.17,1.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.20
array_list_init_static2,TRUE,12,160,0.02,0.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.04
string_eq_ignore_case,TRUE,12,4223,4.79,4.69,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.02,0.04,4.83
array_list_front2,TRUE,14,189,0.76,0.75,3,3,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.78
array_list_set_at,TRUE,19,553,19.62,19.59,5,84,75,24,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,19.65
array_eq_ignore_case2,TRUE,12,2210,1.49,1.42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.01,0.03,1.51
array_list_sort2,TRUE,11,121,0.03,0.01,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.04
array_eq2,TRUE,12,1054,2.39,2.37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.41
array_list_get_at_ptr2,TRUE,13,159,0.97,0.96,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.98
array_list_get_at2,TRUE,14,182,1.12,1.11,3,3,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,1.14
array_list_length2,TRUE,11,125,0.90,0.89,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.92
hash_table_init_unbounded,TRUE,11,1058,13.58,13.52,3,13,n/a,n/a,33,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.03,13.60
byte_buf_append2,TRUE,15,175,0.11,0.09,4,3,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.12
array_list_push_back2,TRUE,17,307,0.97,0.95,3,7,17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.99
byte_buf_advance2,TRUE,14,178,0.13,0.12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.16
byte_buf_append_dynamic2,TRUE,21,277,0.23,0.22,4,6,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.26
byte_buf_append_with_lookup2,TRUE,17,509,0.27,0.24,4,52,68,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.01,0.30
byte_buf_eq_c_str2,TRUE,9,324,0.16,0.15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
byte_buf_eq_c_str_ignore_case2,TRUE,9,324,0.16,0.14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.18
array_list_ensure_capacity2,TRUE,14,201,2.41,2.39,3,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.43
array_list_pop_back2,TRUE,11,161,2.00,1.99,3,4,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,2.02
byte_buf_write_be162,TRUE,11,120,0.07,0.06,3,3,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.00,0.00,0.00,0.09
